price,qty,timestamp,bs,ml,bucket
7485.200000,0.477907,1527825606.512900,s,m,201806010400
7485.200000,0.006223,1527825606.529900,s,m,201806010400
7485.200000,0.015870,1527825606.532500,s,m,201806010400
7481.500000,0.500000,1527825606.535400,s,m,201806010400
7480.500000,0.013368,1527825666.964400,s,m,201806010401
7475.700000,0.105948,1527825666.976500,s,m,201806010401
7475.500000,0.880684,1527825666.979900,s,m,201806010401
7475.600000,0.013655,1527825683.982600,s,l,201806010401
7481.800000,0.028174,1527825699.033800,b,m,201806010401
7481.900000,0.078826,1527825699.043400,b,m,201806010401
7476.000000,0.018038,1527825700.249600,s,l,201806010401
7476.300000,0.018967,1527825740.619500,b,l,201806010402
7481.500000,0.014027,1527825740.623500,b,l,201806010402
7475.500000,0.248754,1527825756.469000,s,l,201806010402
7475.500000,1.000000,1527825757.231700,s,m,201806010402
7475.500000,0.082899,1527825761.864000,s,l,201806010402
7475.500000,0.157253,1527825764.563400,s,l,201806010402
7475.500000,0.026891,1527825785.164900,s,l,201806010403
7475.500000,0.113403,1527825789.741800,s,l,201806010403
7475.500000,0.250000,1527825815.576700,s,m,201806010403
7475.500000,0.250000,1527825815.583400,s,m,201806010403
7475.500000,0.677450,1527825824.578200,s,m,201806010403
7475.500000,0.259904,1527825826.305800,s,l,201806010403
7475.500000,0.807087,1527825831.806800,s,l,201806010403
7475.500000,0.236927,1527825834.326500,s,l,201806010403
7475.500000,0.213592,1527825834.343700,s,l,201806010403
7475.500000,0.304590,1527825834.892000,s,l,201806010403
7475.500000,2.410000,1527825835.696300,s,l,201806010403
7475.500000,0.085736,1527825836.540900,s,l,201806010403
7475.500000,0.086126,1527825836.848300,s,l,201806010403
7475.500000,0.766763,1527825838.097400,s,l,201806010403
7475.500000,8.162718,1527825838.948100,s,l,201806010403
7475.500000,0.009280,1527825838.952200,s,l,201806010403
7475.500000,1.000000,1527825838.955500,s,l,201806010403
7475.500000,4.186000,1527825838.958700,s,l,201806010403
7475.500000,0.079200,1527825838.961900,s,l,201806010403
7475.500000,0.223600,1527825838.965300,s,l,201806010403
7475.500000,0.004100,1527825838.968600,s,l,201806010403
7475.500000,4.186000,1527825838.971800,s,l,201806010403
7475.500000,1.000000,1527825838.975500,s,l,201806010403
7475.500000,4.186000,1527825838.978700,s,l,201806010403
7475.500000,0.134001,1527825838.981700,s,l,201806010403
7475.500000,0.223600,1527825838.984800,s,l,201806010403
7475.500000,1.000000,1527825838.988300,s,l,201806010403
7475.500000,0.002010,1527825838.991400,s,l,201806010403
7475.500000,0.300000,1527825838.994700,s,l,201806010403
7475.500000,0.158772,1527825838.997800,s,l,201806010403
7475.500000,0.000247,1527825839.000800,s,l,201806010403
7475.500000,3.135346,1527825839.004000,s,l,201806010403
7475.500000,3.251067,1527825839.007800,s,l,201806010403
7466.600000,2.621930,1527825839.011400,s,l,201806010403
7463.700000,0.005302,1527825839.014100,s,l,201806010403
7463.400000,1.130827,1527825839.017400,s,l,201806010403
7468.900000,0.397262,1527825860.404500,b,l,201806010404
7473.500000,0.015870,1527825863.395100,b,l,201806010404
7473.500000,0.484130,1527825863.401000,b,l,201806010404
7475.400000,0.315655,1527825863.404000,b,l,201806010404
